Minisector,VET,RAI,Fastest
0,285.40509549559346,277.2045580603281,VET
1,304.2627110696869,294.53183153470513,VET
2,299.81416741797705,294.36285331833363,VET
3,172.00605653461201,179.71183566920502,RAI
4,116.10401491337133,117.02671062379007,RAI
5,244.38524644721525,234.65843924569677,VET
6,300.19752678047155,283.036820778645,VET
7,321.07299709572305,297.8082211962497,VET
8,160.1484387245068,170.38653402088912,RAI
9,142.33645096086468,136.01876648384433,VET
10,251.9361761337389,251.3655010070962,VET
11,287.2139697592842,289.3753323577253,RAI
12,296.22773304242423,302.54792110785263,RAI
13,276.59713897490155,284.0767224371192,RAI
14,297.8377410593424,301.8991528686415,RAI
15,294.54726131362855,306.516202829745,RAI
16,248.8256373126376,255.88918202888306,RAI
17,221.95523115754963,216.38000119730847,VET
18,279.2284940919358,281.092565715927,RAI
19,301.66002723301193,310.7282766514275,RAI
20,308.36853837936206,319.3042039458825,RAI
21,227.8447056087309,232.41766617083144,RAI
22,258.76500848963235,261.137762536457,RAI
23,143.49499787992062,139.47467565364408,VET
24,213.32179020968215,204.4127456017885,VET
25,254.95000106666666,256.7666645333333,RAI
