Minisector,ALO,PER,Fastest
0,291.9605502650044,292.3278545523809,PER
1,304.7357984355556,303.1945041672317,ALO
2,308.345553210084,297.76603140849994,ALO
3,182.79604762408238,177.47157713704257,ALO
4,206.49550046400873,208.7739612646407,PER
5,198.4385023941243,202.81106469836968,PER
6,264.6043624579827,262.48548188904005,ALO
7,255.33211558640411,248.4103894986689,ALO
8,200.01981007744757,199.3903149357037,ALO
9,207.56896488230225,205.7821886988295,ALO
10,137.1994820853047,146.05966386149294,PER
11,208.77479799522715,184.04415267654565,ALO
12,171.40626991737219,186.75168677329384,PER
13,246.21234434142167,237.252106598557,ALO
14,172.10420075549914,172.05210216725987,ALO
15,235.62753041151805,237.61995723493317,PER
16,275.88684070748303,275.7975591111111,ALO
17,272.73733773298704,276.28298105650794,PER
18,263.406198002963,263.44718990878823,PER
19,246.22192939835517,249.88461940869567,PER
20,256.8149807056693,253.0730036436945,ALO
21,255.83857839307538,258.39094232612837,PER
22,219.5513783336603,199.79120679280422,ALO
23,192.43776091578619,201.0098577995728,PER
24,270.50964763229814,269.5110764289524,ALO
