Minisector,PER,ALO,Fastest
0,302.64079548657077,294.7746265243785,PER
1,155.039626305775,161.47009925973532,ALO
2,147.25844215361064,158.93228480597426,ALO
3,225.4460640590912,230.2731472807619,ALO
4,287.6151578629095,288.7002320267054,ALO
5,290.6814715398347,291.3940707790174,ALO
6,141.15322342423335,144.63442352511518,ALO
7,141.96428748914244,147.0184772564519,ALO
8,144.4972546646634,134.34673889259614,PER
9,185.86141092519284,191.82317004190588,ALO
10,126.47965323294484,125.90321323059561,PER
11,134.01803228170377,123.91330923922959,PER
12,159.1155727659925,180.8433433920479,ALO
13,268.3196016,270.56277237171935,ALO
14,291.5655328872727,294.97652119195766,ALO
15,153.67033619285465,150.39341819469888,PER
16,198.3857854004535,222.0984896196808,ALO
17,169.6176796624409,188.00988798784346,ALO
18,271.22630585778086,275.854557505537,ALO
19,295.9567183610582,298.6473530729412,ALO
20,311.12344105187304,312.8914484829814,ALO
21,319.3966228710559,321.7765937250111,ALO
22,323.47604169356725,326.1511112817778,ALO
23,325.89923274816056,328.93015877079364,ALO
24,326.56804686,329.3965311020096,ALO
25,327.0,,PER
