Minisector,RUS,COL,Fastest
0,249.22798026869978,241.73241297026524,RUS
1,286.4059398690909,279.6548809194374,RUS
2,162.51021914266875,191.20297520619312,COL
3,162.09155814837837,165.58169704130108,COL
4,256.9855771081674,254.50800686917185,RUS
5,270.0832304619706,267.94127362055934,RUS
6,226.86364209723357,239.59262147565715,COL
7,209.66118245624472,213.06039281705947,COL
8,164.31109597418077,163.1375966976994,RUS
9,219.99552183709005,217.6480765144178,RUS
10,275.1685119236117,269.5172698261264,RUS
11,131.92255467900816,131.23199040169703,RUS
12,212.70709382861244,210.85909465020578,RUS
13,279.31414626438095,273.1606145028091,RUS
14,301.26951476680796,294.49656084656084,RUS
15,313.12373104,305.17808585858586,RUS
16,246.8527797132446,244.61409604720757,RUS
17,130.93042514834514,129.9477626431645,RUS
18,128.33707062614957,130.26903246826308,COL
19,119.34781661014937,124.21628290624692,COL
20,220.808433839095,227.57161195286196,COL
21,254.0626515801975,261.48748343994197,COL
22,244.35902265188776,238.62085858585857,RUS
23,218.36502656796534,220.43603133203837,COL
24,141.68132457601155,138.58647095842073,RUS
