Minisector,NOR,TSU,Fastest
0,307.36393245306147,304.0512750248539,NOR
1,322.6656847919098,320.07628303265676,NOR
2,303.1099381669759,306.0425272180451,TSU
3,103.50376814201331,104.51809266301038,TSU
4,226.58921877454918,219.18851555517756,NOR
5,282.4353983180375,279.5632134025321,NOR
6,221.53602155530407,190.15729616378852,NOR
7,154.42313993943014,165.2624896594013,TSU
8,209.2446521727556,202.08840751266257,NOR
9,210.05922418864816,213.6597688742548,TSU
10,115.58243003747066,112.80113336777963,NOR
11,228.48203090926108,226.96827175397405,NOR
12,115.55559042266943,116.38606547725364,TSU
13,221.21738493034925,222.83152271996363,TSU
14,275.7271738434783,276.13942972749203,TSU
15,216.90515965504048,202.80863793788228,NOR
16,180.8547500905428,189.86815588916315,TSU
17,244.1113292431527,243.77098724637682,NOR
18,200.79095526511435,177.87647116638243,NOR
19,180.33575018030646,180.92012935197278,TSU
20,263.44552722165577,263.51146685078845,TSU
21,288.8275538011297,288.53118781568827,NOR
22,176.91582923715876,156.58683587178993,NOR
23,210.8096588707648,216.51427915300204,TSU
24,271.7246014737572,271.9540063908322,TSU
