Minisector,LEC,RAI,Fastest
0,274.74245917460314,275.02686635650025,RAI
1,300.52107783529414,301.3763883259259,RAI
2,313.56923017772976,316.17668027338937,RAI
3,320.7252602666667,323.9424476666667,RAI
4,324.8073529098039,328.87959483207345,RAI
5,326.34557293333336,331.34313725490193,RAI
6,225.53208668171828,211.32391007085712,LEC
7,107.23951883439015,105.38809449908219,LEC
8,176.72075165968255,187.29827339770114,RAI
9,260.6449847703096,265.409898562406,RAI
10,291.8781941847464,295.18420979649125,RAI
11,190.39211725714287,167.80514191174993,LEC
12,95.52669039588751,95.24734258503402,LEC
13,111.61375296778115,118.4449632196732,RAI
14,224.28780443818096,224.3131991784679,RAI
15,186.37116402199567,184.41699631982522,LEC
16,230.39621178874458,219.2689983047619,LEC
17,182.88867964460832,180.60996699874303,LEC
18,237.77380790995673,237.12494667660457,LEC
19,279.6642573954985,281.48464819649126,RAI
20,263.1916704,243.24758294484346,LEC
21,147.38200914057683,139.2276713846154,LEC
22,97.28495207894251,97.8325585028779,RAI
23,124.4275052580288,127.48230000861581,RAI
24,224.14489533913752,231.2045614222222,RAI
25,258.1166634666667,,LEC
