Minisector,RUS,RIC,Fastest
0,273.71855220242423,273.6000373688889,RUS
1,298.9434083347295,298.2659493252873,RUS
2,312.7405094874074,310.7257222682786,RUS
3,320.80829561606396,318.65524168694674,RUS
4,325.1520016664704,323.4726191537415,RUS
5,314.27453796857145,325.76244805333334,RIC
6,197.59131762962963,198.6479463061771,RIC
7,103.78216891407514,102.68666083712601,RUS
8,185.46409864749282,187.53027784682033,RIC
9,257.2914153936842,263.53972019292945,RIC
10,285.1441376923459,291.06604431939394,RIC
11,161.27591417626928,162.57540666320472,RIC
12,96.18541778051025,93.29877203765382,RUS
13,115.25923782578622,113.17640018904683,RUS
14,217.25947545301588,219.12070329693685,RIC
15,178.38420175205414,185.4917209446728,RIC
16,218.47119025066667,219.34748317312685,RIC
17,173.98666704190254,171.15498006612944,RUS
18,233.03823745990425,228.07863953279852,RUS
19,281.14280433203794,275.9326641317647,RUS
20,243.18287562874457,245.91357221632765,RIC
21,143.75699312275736,143.11573892399932,RUS
22,91.70737289750527,91.0645258320281,RUS
23,123.8650244685197,121.61033049124885,RUS
24,221.05158909090912,217.04011213511112,RUS
25,254.08571977142856,254.51134394074074,RIC
