Minisector,BOT,NOR,Fastest
0,294.31989168818325,306.72548261351227,NOR
1,297.1414357333333,308.03273700392157,NOR
2,170.40572917003027,158.7519076222218,BOT
3,228.79174336397517,233.89000332121213,NOR
4,276.0233602950658,286.91438014883175,NOR
5,293.16980648841997,312.5110264454188,NOR
6,299.24814820740744,317.9813724235294,NOR
7,158.25573942992193,159.4647576353774,NOR
8,141.00400624211184,143.22196043243244,NOR
9,253.68841389192502,251.50299491437727,BOT
10,285.91271893333334,285.5026787301588,BOT
11,297.3010049465707,291.9230426101824,BOT
12,147.25828423208281,147.2952557710729,NOR
13,206.71475423583541,207.3457901679393,NOR
14,264.7952016627354,258.21772762017537,BOT
15,203.88786735238094,201.6005604102564,BOT
16,226.64516726121974,230.57095131101588,NOR
17,215.4652085333333,222.81569947301588,NOR
18,246.92209523155668,252.82671887025307,NOR
19,277.68329307816975,277.52109347256595,BOT
20,294.15342539386756,288.60745616842104,BOT
21,262.9709750566893,257.5371877877551,BOT
22,220.62733983962588,218.83409802150783,BOT
23,213.6882331282619,216.49919538818045,NOR
24,269.2094734809778,270.2123164793639,NOR
25,282.0,,BOT
