Minisector,BOT,VET,Fastest
0,301.85911426666667,293.13266808291314,BOT
1,303.39831106091253,291.089841,BOT
2,160.62720950673244,160.7366017311014,VET
3,228.10379166954093,228.8946813422748,VET
4,275.8719894530141,278.4160769199295,VET
5,294.6372398400436,297.21109432542215,VET
6,298.3892025785028,300.3864582095238,VET
7,151.51725275100912,150.16491350677214,BOT
8,140.9494666738894,146.64681070690204,VET
9,252.34709222539166,255.40139779042127,VET
10,283.5175546427318,289.5372502664214,VET
11,289.6166844998558,296.8205600824849,VET
12,146.25718861048267,143.33455793930216,BOT
13,200.6652661421422,204.37178206060605,VET
14,255.68079971667612,261.337553512554,VET
15,200.75456666950242,204.3738560265075,VET
16,220.15393894936406,230.06633442845774,VET
17,211.94381530936525,214.45006102080976,VET
18,245.63948964496663,247.97519048163505,VET
19,276.9048296252289,277.8956121078136,VET
20,289.73619253663696,294.08639464814974,VET
21,253.54970430609805,262.88508253447503,VET
22,219.74890422992905,227.54473030863633,VET
23,210.9448174925111,212.59964565630048,VET
24,265.66520122358196,268.9501123022489,VET
25,,285.796019140121,VET
