Minisector,ALB,NOR,Fastest
0,295.70902746666667,311.0130436173913,NOR
1,304.51969692121213,319.46187504,NOR
2,273.8158121033571,287.0947178236827,NOR
3,113.73756797111456,115.27787884772908,NOR
4,227.7359180505747,227.43536355171094,ALB
5,274.1211378151619,269.62906318178057,ALB
6,205.32512905050504,216.04629573244392,NOR
7,172.06509289194074,174.9169957614035,NOR
8,205.08583683034857,221.07402994918496,NOR
9,216.1380962064516,224.0504033376344,NOR
10,117.9300316723128,115.08884706161493,ALB
11,231.51150637979092,230.91832697952492,ALB
12,121.04875281719801,118.42627345701966,ALB
13,228.96034368735633,224.6544646857143,ALB
14,275.8906282412576,271.31060606060606,ALB
15,221.34516276989245,221.10016594285713,ALB
16,198.3362348476105,204.21697388632873,NOR
17,255.80518054603175,252.5293268923077,ALB
18,202.63717162700237,204.72267120910516,NOR
19,191.33846118991596,184.42094945185187,ALB
20,267.7140375527893,263.7982115698561,ALB
21,292.0159720888889,284.59112116190477,ALB
22,168.26485601256826,174.2025294276431,NOR
23,219.0605588645161,208.9316925129166,ALB
24,275.6034739429998,269.4454710923395,ALB
25,286.7,284.09999999999997,ALB
