Minisector,GAS,OCO,Fastest
0,293.8297287900629,293.5753071803687,GAS
1,302.70198415238093,302.5859128380952,GAS
2,275.66303492931155,284.2706641493333,OCO
3,108.69913004236928,116.7213987385477,OCO
4,227.41225355665026,215.66138041909286,GAS
5,275.1014794169445,275.20846849356315,OCO
6,203.98502026066504,219.62469918319815,OCO
7,166.23482967308166,162.69545445923328,GAS
8,208.65077296344086,213.5819005,OCO
9,222.412891185889,217.78835299235107,GAS
10,114.83973291245647,117.3306013504943,OCO
11,228.14087337142857,228.78431970574712,OCO
12,117.8817019169116,122.19986192419893,OCO
13,229.74418265640494,221.10388687367347,GAS
14,275.407986,273.1130242377143,GAS
15,217.74834865039082,225.76782003551682,OCO
16,197.86078365490198,188.8532156647619,GAS
17,250.06645819529643,254.12343040668,OCO
18,198.88292213830053,208.15416453333333,OCO
19,185.59570325977393,181.97022285313284,GAS
20,266.6035423192479,264.098789408202,GAS
21,290.1685398091271,288.8245003659561,GAS
22,162.77292574623885,178.25644860036297,OCO
23,215.65119011490017,207.01940891773458,GAS
24,274.9242453933763,271.6065813658,GAS
25,287.1,285.73333279999997,GAS
