Minisector,ANT,NOR,Fastest
0,298.08341069942855,300.5820870870706,NOR
1,224.60580964699747,207.75288276139383,ANT
2,215.88179158349692,223.81436968655237,NOR
3,276.3720800797166,274.7010281026757,ANT
4,261.0339271732837,240.57942194814908,ANT
5,122.92872855765228,127.47660572435653,NOR
6,198.63653363633335,206.67459227898394,NOR
7,251.12956700350375,248.5107084748742,ANT
8,239.62376024324516,230.05470063989415,ANT
9,239.9801585567753,242.55935065310769,NOR
10,286.91248193593185,287.85553689472516,NOR
11,305.4735189155556,309.7319456150194,NOR
12,317.72630344536566,316.80893939415483,ANT
13,314.2719035324852,310.7231093708642,ANT
14,307.6294067274854,301.59330336761906,ANT
15,263.88251192226363,257.86624412681397,ANT
16,240.12924073818067,242.99911702260871,NOR
17,281.1363081764182,280.48093370965074,ANT
18,288.2191182440573,286.6668786301895,ANT
19,156.87959282443512,156.93453345983818,NOR
20,200.10540591817912,201.04392824659226,NOR
21,179.5973548885397,168.85865857130702,ANT
22,130.28863841828968,142.33493894824457,NOR
23,237.2003449444953,247.43594324736569,NOR
24,285.88664082984127,289.4964586506667,NOR
