Minisector,VET,TSU,Fastest
0,301.93532477069596,295.4778027701888,VET
1,162.64772926635428,157.2813838103534,VET
2,152.69626717777777,153.16085630202127,TSU
3,223.70754980324452,225.17152236190478,TSU
4,285.89562817289374,287.92373844821594,TSU
5,291.1156010501841,295.327999232,TSU
6,146.27400684063068,147.28599463018082,TSU
7,141.7746078517862,142.463083262841,TSU
8,149.94258210736479,148.4926986818754,VET
9,177.30859118771536,172.61225051730153,VET
10,133.64564573620208,131.7164317455137,VET
11,126.9642085876666,129.47397243263455,TSU
12,165.31977112530856,159.68945703949277,VET
13,266.9412556952381,268.69846766676187,TSU
14,286.4380663137562,293.2191667626667,TSU
15,152.31067237403533,153.5957839020408,TSU
16,212.21113216305054,206.96006903703702,VET
17,169.0566552004066,169.23900982857143,TSU
18,271.08037342020714,272.6795793943979,TSU
19,295.47608369814253,295.29100014933334,VET
20,309.2220426722174,308.6675051081902,VET
21,317.10208329696974,316.56822919999996,VET
22,319.8366718873706,319.7567029333333,VET
23,321.82265924718325,322.48134061449275,TSU
24,319.7486855047619,321.116269784127,TSU
