Minisector,LEC,PIA,Fastest
0,290.48054608911116,291.0554977658095,PIA
1,299.8024726189569,301.9233823018488,PIA
2,297.33171841664563,303.2390176005409,PIA
3,185.77186530000267,193.48065947193334,PIA
4,208.70338687512765,210.3424484868214,PIA
5,204.14827123189121,202.89470825031694,LEC
6,264.1331845638095,262.56657869172903,LEC
7,263.6907192367847,255.28955131097308,LEC
8,216.9128623056555,213.4695762100618,LEC
9,212.96102454567597,210.75627022058373,LEC
10,141.430639933722,140.75313830086628,LEC
11,199.09319659532466,200.89679340495348,PIA
12,192.58900524614032,188.4290447884283,LEC
13,254.0196806373394,252.05906370811508,LEC
14,180.60212389879763,185.49942644063492,PIA
15,234.74798105846153,231.4871043339269,LEC
16,278.2377867154051,279.7119981329705,PIA
17,289.69955029671956,290.767638281946,PIA
18,285.5642610241441,285.63933506408716,PIA
19,276.4688979420451,273.4462897287247,LEC
20,269.3064341862434,265.82625424159164,LEC
21,266.9167590282244,264.88941810427934,LEC
22,246.22720590489334,231.14001794288512,LEC
23,209.59375618306964,207.63863368932104,LEC
24,267.93481297850343,267.59799602871135,LEC
