Minisector,ANT,PIA,Fastest
0,283.9924274007686,280.4419327417787,ANT
1,122.24907746695685,125.63492833579099,PIA
2,157.56203869497736,159.5768588298083,PIA
3,219.0728725093333,218.98861261301712,ANT
4,167.3800801232741,166.7149787510534,ANT
5,240.08472581710714,242.07688321038964,PIA
6,213.11611333714288,234.48704780228255,PIA
7,132.61180619948988,131.60834535725508,ANT
8,230.10698477809942,224.82375908678364,ANT
9,276.9987569340056,281.45403483089945,PIA
10,286.0966758050909,300.54148025544,PIA
11,157.2218496287064,163.50672985825398,PIA
12,216.57969825972873,216.19165167664005,ANT
13,268.9206947294094,265.4763226395547,ANT
14,278.4180141150039,278.7624258819048,PIA
15,102.22650515429528,104.07003831917599,PIA
16,211.53281861642515,201.75160675479432,ANT
17,270.7864854934115,266.3105773784615,ANT
18,294.33177798162967,298.75738084481793,PIA
19,306.59937809608465,317.7153347097738,PIA
20,312.6723888872331,325.632440487619,PIA
21,308.50475988625186,310.0017856238095,PIA
22,151.90993122555315,160.70920406489728,PIA
23,235.5195889870377,224.16002577246755,ANT
24,276.00979854285714,280.3394771282709,PIA
25,287.2977268363636,298.22095195428574,PIA
