Minisector,BOT,GAS,Fastest
0,315.83664023703705,291.4635416533333,BOT
1,242.90601878437383,232.8860908964263,BOT
2,153.22445160550447,144.81745579557725,BOT
3,228.0376110131757,219.66275883949555,BOT
4,161.04537011131245,163.1660157,GAS
5,174.330931816159,169.0862826420891,BOT
6,250.67961621469368,247.59387755102043,BOT
7,273.6975002666667,271.45050121303257,BOT
8,277.4549392655999,279.1798245614035,GAS
9,258.93052941646266,237.00253630144928,BOT
10,243.41131022222223,225.38623188405796,BOT
11,242.7907936507669,236.08966873706007,BOT
12,213.94086260380703,204.71378194871795,BOT
13,148.9272411477657,137.77469118909897,BOT
14,159.61672854597555,149.20552474233995,BOT
15,193.02278358601686,175.447988371757,BOT
16,260.93871084632826,252.21501635709683,BOT
17,245.60219861251682,242.6826984999653,BOT
18,119.37121041368434,113.54668499627631,BOT
19,199.87884508717949,190.67772972873564,BOT
20,184.20430583434373,188.56133308693185,GAS
21,204.89265928937039,225.61445926984126,GAS
22,250.49598343411157,260.42756892230574,GAS
23,272.8367818142353,276.05204638843355,GAS
24,287.96988081523807,286.0,BOT
25,,287.39444480000003,GAS
