Minisector,PER,TSU,Fastest
0,293.4756303090128,289.60136324059465,PER
1,307.3522865653781,299.8269479168831,PER
2,313.49293205360607,306.2671532840336,PER
3,315.10531622206827,304.0363967746261,PER
4,197.89646003438523,194.31238019420007,PER
5,210.0031946460351,211.437311356089,TSU
6,266.5827830501332,262.0581538768254,PER
7,270.4520180462585,264.5041315840086,PER
8,183.95519251782196,183.93089303487685,PER
9,148.1189442004216,151.24787221947372,TSU
10,177.1106178696888,170.99978616071775,PER
11,258.2670360023396,252.9695041329372,PER
12,252.79813567757574,250.68847470920693,PER
13,231.84893195721912,217.25336196958628,PER
14,274.1625564011544,265.0145769645714,PER
15,169.00281432621074,173.97384948837148,TSU
16,214.16578235209082,206.216100172939,PER
17,233.66923775261182,240.34189451599715,TSU
18,131.24518841516942,131.5186360524978,TSU
19,242.98700542686353,227.730600844987,PER
20,281.36223614471976,271.8682877605088,PER
21,242.79745775974578,254.51802193152065,TSU
22,138.75007500922823,138.10461440576574,PER
23,211.04712042449634,195.74002300054565,PER
24,269.71530699616574,263.8833794069114,PER
25,,280.01249920000004,TSU
