Minisector,HUL,RIC,Fastest
0,298.9879998933333,285.1137153154638,HUL
1,306.1179087557168,293.8371326117647,HUL
2,155.20041821165384,159.5436183288548,RIC
3,220.15622108645675,215.4969349983976,HUL
4,271.63987372997195,269.6846464646465,HUL
5,292.46357755981575,294.25464517727386,RIC
6,294.89259691838953,302.48362661925927,RIC
7,173.97231337583068,173.9666740892659,HUL
8,121.91742381714286,104.96796077661742,HUL
9,250.0929606781355,247.34411187916908,HUL
10,285.22729575502245,285.4227664197531,RIC
11,294.17088886044445,298.28828571428573,RIC
12,139.79375838671297,146.77734302974775,RIC
13,189.42413661904763,180.03040059311158,HUL
14,253.708835978836,253.49688898165417,HUL
15,190.66267355300127,197.80849661754388,RIC
16,205.71966075154324,206.05195416540212,RIC
17,196.2275372857143,196.40791932307692,RIC
18,233.8479390939337,228.8634086690909,HUL
19,273.61065476190475,272.3872653733333,HUL
20,291.29334713405154,292.909649859944,RIC
21,252.03508130901153,247.29313617608466,HUL
22,214.9848465001607,213.61083810920636,HUL
23,202.3079021932259,201.01884537542944,HUL
24,263.39024902577495,259.4255558219549,HUL
