Minisector,RIC,BOT,Fastest
0,308.4810949393139,311.63645826666664,BOT
1,235.82407450451464,243.27978485722423,BOT
2,141.43425272962813,141.18348946158642,RIC
3,221.67552477613808,223.41246413756204,BOT
4,264.64584177847075,266.1943817139126,BOT
5,290.05992613773935,292.64808538328487,BOT
6,304.6062499809524,307.71153846153845,BOT
7,284.2968918779193,293.18711544588894,BOT
8,181.23430053892636,184.67394689658002,BOT
9,242.89594234587972,246.07270960301648,BOT
10,274.71014990007166,277.81862721136997,BOT
11,270.57588002785695,271.13292836221626,BOT
12,212.80300491410273,216.4860442500322,BOT
13,137.62875249207323,135.76913579465466,RIC
14,124.14195347129221,128.01861055574614,BOT
15,172.27789535952675,173.20302021789627,BOT
16,128.79527401333056,131.05538546998554,BOT
17,233.6376704740427,235.25436605019993,BOT
18,191.75651818483848,199.75772728164145,BOT
19,171.6005646913898,172.568198467252,BOT
20,249.09414800995373,253.64307906153385,BOT
21,277.7044079369722,281.0421598039129,BOT
22,293.5540325705394,296.9155984509139,BOT
23,303.70852218004904,306.66830535788745,BOT
24,308.40125870746397,310.25694435555556,BOT
