Minisector,LEC,NOR,Fastest
0,295.21675326350737,288.5917139242548,LEC
1,150.19545297068393,159.56040705812595,NOR
2,143.55932409591793,149.1420672945266,NOR
3,226.07829741823508,226.35326873167435,NOR
4,296.8552637312542,286.1168762305845,LEC
5,288.6821299930736,288.2043142247619,LEC
6,136.63967476374083,140.3119273555954,NOR
7,134.61317072281943,135.5799337991121,NOR
8,129.6527112795616,139.86107344144654,NOR
9,188.14316833307623,187.9255142671977,LEC
10,127.71070773463713,126.29508218303413,LEC
11,121.39485457015051,124.28630023112846,NOR
12,161.66262459954652,169.08745418199914,NOR
13,269.5927317775574,269.65137246075267,NOR
14,296.68564271705685,290.8351731809524,LEC
15,143.6811839210681,150.77114000580562,NOR
16,199.23648292990802,200.14616312157682,NOR
17,162.7172643506451,176.0929037481612,NOR
18,272.9286515894303,270.92493046495787,LEC
19,297.49406833510477,293.7011024587239,LEC
20,314.49254404239343,308.69413241465753,LEC
21,322.44255482872256,316.94759835580953,LEC
22,328.0715635016355,321.89082884791446,LEC
23,338.8173938237909,324.49984313766237,LEC
24,341.30535807746344,323.2058090651325,LEC
25,341.0,319.0,LEC
