Minisector,SAI,STR,Fastest
0,260.90882352941173,262.45260156681246,STR
1,135.0827144802577,137.59046866492946,STR
2,195.25463530199323,196.45729306666667,STR
3,243.91484593837535,245.64466215145052,STR
4,259.9450385134029,258.73437466666667,SAI
5,184.6173218024652,185.11558248311687,STR
6,152.57786600070546,146.85506348145623,SAI
7,185.42283182129142,180.40652377971014,SAI
8,103.66576454971947,101.83426920344604,SAI
9,79.1596799921428,77.72179958962964,SAI
10,93.62398021485409,94.13981107737372,STR
11,179.75371397813785,181.7460658517169,STR
12,245.2406191283469,248.75416753333334,STR
13,267.5584126984127,270.8140340602262,STR
14,280.10087876158485,278.9124978488889,SAI
15,121.25864428464294,120.58397642884354,SAI
16,142.58571820241698,139.04772706138948,SAI
17,194.93076280762193,197.84999974603176,STR
18,198.22511904761905,201.49901449745883,STR
19,220.00119248117622,223.4829490072828,STR
20,131.83569177946262,131.3016979612265,SAI
21,117.55610667740883,120.32702461275848,STR
22,93.30744299810338,91.06911504979503,SAI
23,195.80000096507933,198.97500186666667,STR
24,246.7794159922542,251.48416052486775,STR
