Minisector,ANT,HAD,Fastest
0,305.5904745354184,310.1523725850882,HAD
1,241.12829160655707,222.8023448363285,ANT
2,131.70189219758845,126.55675089440105,ANT
3,238.6306846413152,234.1184942503212,ANT
4,195.74140947298542,182.10627827848037,ANT
5,247.84841368611924,240.4582278352928,ANT
6,227.49130032500446,221.0226280342363,ANT
7,257.4425738336718,256.2861702931582,ANT
8,292.3795601611977,293.72908051395166,HAD
9,209.74958164708664,198.41838355272728,ANT
10,202.76515224675882,205.33491052952988,HAD
11,271.7677532568116,276.2156757396825,HAD
12,212.25305158677924,212.7660943110085,HAD
13,249.44690186657866,243.0708235812197,ANT
14,292.56572116259434,292.9080384787103,HAD
15,308.5303319426709,317.1036955040021,HAD
16,307.00317738666666,318.78970753492064,HAD
17,206.24346433206972,202.33567296693317,ANT
18,264.95392440721974,257.7381847226567,ANT
19,296.40943802265605,298.79503027103027,HAD
20,311.4429232555783,316.58817055799284,HAD
21,311.5597669422526,321.0821825244445,HAD
22,149.74267682733935,147.02660480783317,ANT
23,237.108034993288,228.87930865575626,ANT
24,286.4183060153286,292.5904521666872,HAD
25,,307.08000000000004,HAD
