Minisector,NOR,VER,Fastest
0,298.6936787753873,296.0934237600945,NOR
1,308.51352498966133,305.97052637473683,NOR
2,313.2302528485498,310.44483753616163,NOR
3,296.54791005291,302.78299319727887,VER
4,163.29680094406132,173.4882000860805,VER
5,209.09905325033586,209.57909073156137,VER
6,239.53935890241547,246.24280780650037,VER
7,269.91048585200764,272.48849376752906,VER
8,245.1442851986532,248.99228298008657,VER
9,167.0948871272882,163.05071846437872,NOR
10,221.81239883048667,223.7384272143283,VER
11,131.02376758238285,129.6939197782616,NOR
12,232.74337811875776,231.20088956686868,NOR
13,179.51526773289436,175.2952516835949,NOR
14,219.1964434873957,218.73241803483782,NOR
15,247.3196691595985,245.84037477692414,NOR
16,268.27823229714284,269.03144802204906,VER
17,290.836505821645,290.46662015072513,NOR
18,171.48972281678002,145.66509959320317,NOR
19,172.33888592868422,171.00397852063787,NOR
20,144.6533694244699,141.77430162890187,NOR
21,236.83142222111277,228.42231027848572,NOR
22,269.12565602680775,266.4093057422222,NOR
23,258.1288512795403,258.58078075409776,VER
24,282.92473911649836,283.65785455808077,VER
