Minisector,ALB,PER,Fastest
0,292.21054207823937,307.35356447411147,PER
1,288.62260857260895,313.30234469467786,PER
2,168.95912632611834,162.13814438941068,ALB
3,230.32369308583918,229.865346262956,ALB
4,274.77741268370926,285.7585726500792,PER
5,292.07190049356285,307.83799052549017,PER
6,297.6994362940032,312.4247684740741,PER
7,156.88147205662418,154.2684878835276,ALB
8,142.44262237176224,139.32020913862115,ALB
9,253.00367557308834,259.02107242666665,PER
10,282.16282675212364,296.688993981338,PER
11,286.0007042365915,296.3593789874326,PER
12,147.83856605738765,139.2846954201738,ALB
13,206.44631515897436,204.73801230153427,ALB
14,262.2201303704534,264.6093256634921,PER
15,209.4086229146739,199.71562434807146,ALB
16,229.52229609606627,226.44345307826086,ALB
17,221.7806659272749,217.7119857123129,ALB
18,252.18724009333332,248.9191753156164,ALB
19,277.11352590820627,280.1677637614035,PER
20,290.6389446343567,293.343526053098,PER
21,267.4354158933333,261.9849917897388,ALB
22,230.01737242344223,222.16929827386107,ALB
23,217.28752638192182,215.06547968964412,ALB
24,269.84529814260316,278.2530663847619,PER
