Minisector,RIC,NOR,Fastest
0,249.41195591594584,246.60757868693727,RIC
1,285.57604533494793,283.25533333333334,RIC
2,184.89130042351354,187.42643004719088,NOR
3,151.0772029810406,148.92605964317673,RIC
4,258.99216983951146,258.65351237507065,RIC
5,265.18197207574985,267.3924999253333,NOR
6,222.39541463175826,218.3662726934602,RIC
7,193.0027705330648,195.18695809692292,NOR
8,147.68432977225672,149.67177060817787,NOR
9,209.24063480424144,206.67089079171075,RIC
10,267.4795264802947,267.3553333333333,RIC
11,122.32796762255921,128.05099115626282,NOR
12,208.12274279589758,199.75550661814125,RIC
13,271.57578000045237,268.75208336410253,RIC
14,290.23758418416486,290.8618181381645,NOR
15,298.223883321297,299.4528985507246,NOR
16,256.2027760197531,272.0111905361804,NOR
17,131.80978847031682,132.38123494460464,NOR
18,124.6517534079332,123.97211803500898,RIC
19,114.48625143506273,117.75046082401529,NOR
20,225.08066575362142,219.34812876980567,RIC
21,247.40971540680272,252.28720243223444,NOR
22,233.5585773435416,244.16825755105756,NOR
23,220.11210298412698,217.12231187956988,RIC
24,134.66205008842908,135.05048314949144,NOR
25,216.0750016,212.02361173333335,RIC
