Minisector,VET,HUL,Fastest
0,285.40509549559346,267.629513591805,VET
1,304.2627110696869,287.1426885826241,VET
2,299.81416741797705,285.5124792986921,VET
3,172.00605653461201,172.87003645231292,HUL
4,116.10401491337133,116.99363004121366,HUL
5,244.38524644721525,232.27040417375824,VET
6,300.19752678047155,275.7556893450949,VET
7,321.07299709572305,287.63441125408326,VET
8,160.1484387245068,169.92865044067833,HUL
9,142.33645096086468,136.86246537725756,VET
10,251.9361761337389,245.66977068840572,VET
11,287.2139697592842,278.2261776926882,VET
12,296.22773304242423,290.32855245766217,VET
13,276.59713897490155,271.6920834696835,VET
14,297.8377410593424,292.091203637457,VET
15,294.54726131362855,297.1337092119653,HUL
16,248.8256373126376,240.8459597385234,VET
17,221.95523115754963,213.13548792806938,VET
18,279.2284940919358,270.0622657864771,VET
19,301.66002723301193,293.8849507688987,VET
20,308.36853837936206,300.68286271993173,VET
21,227.8447056087309,221.9862573574167,VET
22,258.76500848963235,248.37028070611697,VET
23,143.49499787992062,140.69634138019774,VET
24,213.32179020968215,203.87751976586063,VET
25,254.95000106666666,250.43749866666667,VET
