Minisector,ALO,TSU,Fastest
0,303.0893228666667,307.03916675199997,TSU
1,224.72764480298613,230.96279837252524,TSU
2,129.03312815691334,128.95103174028404,ALO
3,213.5129622762348,216.4566400585231,TSU
4,259.89482021668647,260.88276043281536,TSU
5,283.15485478496726,286.5747027570344,TSU
6,297.2128193777778,299.08871208311683,TSU
7,270.74199631519707,274.68601471525926,TSU
8,169.11557106481888,163.29262127813357,ALO
9,240.06687118846858,236.29263707827664,ALO
10,270.870615265702,270.89663631327977,TSU
11,256.23125886431376,259.2072792645614,TSU
12,210.3247253737474,209.62687611826087,ALO
13,119.00193241351579,127.16920124736677,TSU
14,124.74133307901235,121.50207079166626,ALO
15,158.22664076689625,155.26747225970303,ALO
16,117.54894471312456,123.09224441409027,TSU
17,228.04221802901563,227.75452042599258,ALO
18,178.8970081165576,170.18829939111782,ALO
19,164.58437342990123,163.54903586274963,ALO
20,243.62557735238096,244.85419877373434,TSU
21,270.871969838522,271.34902007215686,TSU
22,287.6979147236907,287.96093373630276,TSU
23,297.2538257385281,295.91578544410254,ALO
24,301.33529402352946,301.2077457791453,ALO
