Minisector,PER,SAI,Fastest
0,306.91494789666666,306.1090291120558,PER
1,243.68937460690427,238.2649723265416,PER
2,127.37278539247166,124.97754412441913,PER
3,215.6020430442612,212.89309858209515,PER
4,259.7549222518822,260.64234403026,SAI
5,291.4814072927731,286.2528661033053,PER
6,311.78066309224494,299.71031172661066,PER
7,269.4442013917983,286.5916964392808,SAI
8,167.84917844848482,169.94699469530377,SAI
9,239.84488911221706,234.70470705270003,PER
10,267.04610419208024,271.6692595437037,SAI
11,258.4062220287834,262.8830445890727,SAI
12,203.17070102534214,205.14093081081484,SAI
13,122.85652168089966,111.44423420081145,PER
14,123.96167388767053,121.7191103373787,PER
15,161.92947776389633,163.5848191390371,SAI
16,119.4324664391619,126.48506107583135,SAI
17,224.72481230973085,225.01627007661375,SAI
18,158.21220611834394,180.92897178496315,SAI
19,153.72603798797886,150.98545009182266,PER
20,241.6017477682055,242.35509656726745,SAI
21,273.0812134081871,272.32247285015876,PER
22,292.6138348487089,287.8998631218855,PER
23,310.43825375492065,298.6448810565079,PER
24,320.6581885308552,302.62410719999997,PER
25,324.0,305.0,PER
