Minisector,PER,ALO,Fastest
0,251.89411714504357,249.58567172402118,PER
1,124.4118391155204,126.04566036892935,ALO
2,259.7868469361743,258.15992659513756,PER
3,303.85295083210883,300.2549385052352,PER
4,305.4982589734666,303.901749607218,PER
5,314.62854438381396,311.1094878851282,PER
6,318.59262820512816,314.1936821387198,PER
7,320.5726062369785,308.1635119949206,PER
8,184.73277763160198,192.28034333045593,ALO
9,184.49343453437498,176.71952696621878,PER
10,181.02577617580602,183.71459307852712,ALO
11,172.98906091781387,160.81745131123665,PER
12,244.15984594068584,243.6580187031746,PER
13,270.21230568384874,267.510112513536,PER
14,274.36791051278436,273.72666935347564,PER
15,274.21962962962965,265.89670341709746,PER
16,171.9980295924463,166.60225018243156,PER
17,180.963795956139,170.70849830606252,PER
18,230.4535456484127,224.8465763732926,PER
19,281.63432876705815,277.6421820057631,PER
20,303.56038957126043,299.14360093333335,PER
21,309.62558107051865,305.10945333242165,PER
22,308.7344357430857,301.5690720902112,PER
23,241.1636957125336,259.55939553573734,ALO
24,109.48072554765261,105.6027846077808,PER
25,223.8250048,220.31677070977221,PER
