Minisector,BOT,LEC,Fastest
0,272.47113383628346,275.0548455687716,LEC
1,289.5086025572501,297.34907350187035,LEC
2,286.65780673867295,296.2485000472381,LEC
3,188.00004671726384,192.7775925693288,LEC
4,126.31801453503714,122.49536567873919,BOT
5,235.3353871788274,237.13531961915217,LEC
6,281.0929320378974,285.5884858268385,LEC
7,293.8378767573548,302.81879082957903,LEC
8,178.26941869057117,176.02215019715885,BOT
9,142.13485302202145,136.8017708629755,BOT
10,249.1919993826871,247.82121607642858,BOT
11,284.7500638192727,287.0553678773637,LEC
12,294.27599991466667,297.96842073129045,LEC
13,279.916849810989,278.7874999466667,BOT
14,295.0950561708967,300.42060593461616,LEC
15,298.97079228603235,307.32463492011584,LEC
16,263.2305111115721,258.07893108446245,BOT
17,226.16044886045074,214.19061968906635,BOT
18,279.7287470181764,277.52456448534343,BOT
19,301.38142373333335,305.4671872888889,LEC
20,307.24019585020216,314.7087053968254,LEC
21,239.40138801777778,217.30927016695955,BOT
22,260.06143120084374,253.13742372984757,BOT
23,136.29288449931354,142.04521494512142,LEC
24,216.11252571937302,201.79041459627194,BOT
25,,256.13749902222224,LEC
