Minisector,PIA,HAD,Fastest
0,310.0209625242236,310.1523725850882,HAD
1,240.03435913982923,222.8023448363285,PIA
2,130.28995513843418,128.14347456292032,PIA
3,231.03178681360546,234.72986904497552,HAD
4,193.14546252290194,182.10627827848037,PIA
5,250.12198812380953,240.4582278352928,PIA
6,233.88423646875128,221.0226280342363,PIA
7,258.81795003768985,256.2861702931582,PIA
8,295.57988856238734,293.72908051395166,PIA
9,198.54617597247537,198.41838355272728,PIA
10,204.51210004667408,205.33491052952988,HAD
11,276.0991234871593,276.2156757396825,HAD
12,218.37568466732785,212.67444447833176,PIA
13,255.10585581230302,245.42772013294385,PIA
14,294.69386458882786,293.5292067486566,PIA
15,312.19211518499276,317.1036955040021,HAD
16,312.083682837458,317.28947317572363,HAD
17,205.32576793333465,200.1594821859808,PIA
18,263.4477814493531,258.9277121115629,PIA
19,299.3147245845749,298.79503027103027,PIA
20,313.3263911068783,316.58817055799284,HAD
21,312.7057183238095,321.0821825244445,HAD
22,147.52976872327685,147.5860727116765,HAD
23,234.9692699875329,233.72992668724748,PIA
24,289.12884749150413,294.7727392347826,HAD
25,,307.16,HAD
