Minisector,NOR,RIC,Fastest
0,321.76982399337476,330.4401903518286,RIC
1,329.0450757575758,345.77773629059726,RIC
2,322.90634059130434,354.6400595657143,RIC
3,187.1632206075188,214.65101976647406,RIC
4,120.30816175625503,114.06438898316948,NOR
5,265.18589810512447,263.9444697003173,NOR
6,300.7266865079365,301.58909978509445,RIC
7,309.9640624888889,320.01666676363635,RIC
8,275.35833333333335,285.46727838495315,RIC
9,144.40341385994196,144.5459639876559,RIC
10,219.9011581766121,222.02479221500286,RIC
11,216.92765151515152,214.11709246217643,NOR
12,200.29494914097754,196.84283281375662,NOR
13,270.1226631393298,265.8136650239862,NOR
14,305.53200756746975,307.0293545126294,RIC
15,314.3101449275362,322.3994943897445,RIC
16,264.314258344979,267.4270828717949,RIC
17,208.92023809523812,199.9072444937438,NOR
18,274.33126237143557,267.34783976296296,NOR
19,306.99528985507243,306.5931578621485,NOR
20,320.06439393939394,322.47339546501036,RIC
21,305.663307756548,313.73250440082813,RIC
22,210.84791670588237,206.76101899779883,NOR
23,265.47324109050794,257.99725427388745,NOR
24,303.69233326933335,302.9598957333333,NOR
25,,318.0,RIC
