Minisector,BOT,LEC,Fastest
0,274.7262958341737,280.7440142984127,LEC
1,298.5689775219076,304.6636917595504,LEC
2,311.7969444977778,316.0107993360544,LEC
3,319.51645417142856,322.7490384410257,LEC
4,324.2341411918368,327.79251700680277,LEC
5,325.23310787820344,330.3331037268308,LEC
6,208.15452697971014,203.74409833650793,BOT
7,112.77184758741697,107.62910846736352,BOT
8,194.95297727867495,186.0686569293236,BOT
9,264.3576845275815,268.33515646666666,LEC
10,293.66328132380954,298.6354166666667,LEC
11,168.68693575089276,165.89053795956897,BOT
12,101.6388327904411,99.25449346543115,BOT
13,119.29374733035648,118.7887957579853,BOT
14,226.3315279822222,222.5777180979623,BOT
15,198.893735032788,185.27998475555555,BOT
16,239.59067486395554,223.26114914956608,BOT
17,194.35529038966342,174.5176052282476,BOT
18,244.9533399491324,244.96702625403006,LEC
19,282.9420176044818,287.1000852508838,LEC
20,261.2019608470588,236.9468768,BOT
21,147.1573729096393,145.9858953735829,BOT
22,100.87800132970582,98.28979974572145,BOT
23,129.86169521403338,125.97422826132113,BOT
24,227.57645904,236.96329392592594,LEC
25,256.63333546666667,,BOT
