Minisector,ALO,SAI,Fastest
0,299.5868653883948,304.81765782588235,SAI
1,243.35014004000598,256.87167625067605,SAI
2,132.5421965414522,126.25531077207998,ALO
3,229.2854608410766,239.22700824130965,SAI
4,191.70286529509298,186.43036034836035,ALO
5,244.59373072298754,247.94270741351474,SAI
6,234.94254979184439,231.89984930108966,ALO
7,256.2880402770881,251.46724405684984,ALO
8,284.07465677963637,289.3667431446778,SAI
9,211.99691318672438,207.75549681962482,ALO
10,208.04073058185728,198.68408864420346,ALO
11,271.3974225252174,270.37492921668223,ALO
12,210.26159003530665,211.73833495142858,SAI
13,251.5499653823129,244.6743576808467,ALO
14,289.12941312574355,287.6399788848762,ALO
15,303.51637290571426,305.0944940991465,SAI
16,299.88990493188214,307.18174593015874,SAI
17,212.31086047353534,210.4675116106185,ALO
18,255.3160158672374,256.5224531609977,SAI
19,291.6758845316306,291.63561326882115,ALO
20,305.2639354424963,306.8463894900433,SAI
21,310.4237500088889,310.37013470387853,ALO
22,160.1645153916969,156.7084970873844,ALO
23,232.58110951528565,223.15925018591824,ALO
24,284.6630600759596,285.1984553902765,SAI
25,293.00713874285714,299.0,SAI
