Minisector,PER,VET,Fastest
0,248.41114573019132,247.02824939266768,PER
1,214.49268704131686,205.16957291786235,PER
2,195.15330142037396,198.5917946567894,VET
3,252.3961282733073,248.22534506771734,PER
4,269.2830848736508,265.0704777971093,PER
5,288.33719580444443,276.0124241856277,PER
6,175.78163600093353,162.36434085990297,PER
7,172.20979807922566,177.51067112189764,VET
8,265.32554233627707,260.5948387047619,PER
9,291.49808682601207,286.02264561246756,PER
10,303.9379887934694,296.64345743157895,PER
11,304.9792849907056,293.980135559849,PER
12,114.23014304253968,112.86585874889532,PER
13,182.19845702737504,182.92651993809392,VET
14,268.49236391102465,261.76162525634385,PER
15,294.8359893768575,289.07187021874745,PER
16,301.3876867121344,292.2503654549708,PER
17,184.85998506119142,184.5931729894908,PER
18,217.9152854626176,206.01062732119365,PER
19,262.5529462466032,257.8546695736688,PER
20,156.87139854686475,158.15426163946356,VET
21,139.70127910290398,135.4621160192644,PER
22,215.78078314113378,212.56917151532048,PER
23,236.9507211823666,239.73672960710147,VET
24,149.41032703293843,149.72744866285714,VET
25,220.89999786666667,215.2879597037037,PER
