Minisector,PER,RIC,Fastest
0,257.43447970088187,257.47707560843605,RIC
1,223.03592912696973,222.5118689231363,PER
2,141.54317311082505,147.83430005841618,RIC
3,237.55043451169894,241.0286661577655,RIC
4,267.0708331093333,269.91668867562663,RIC
5,171.26624343893118,178.30230835105291,RIC
6,99.0424882621806,98.20822399407898,PER
7,137.99364209628993,134.47897963844008,PER
8,249.81333794318198,244.37915130968491,PER
9,167.54627362879947,160.54314796065597,PER
10,182.69208901661008,185.38325262222222,RIC
11,257.8520740466781,252.7345558990854,PER
12,243.5372599784142,232.20273029885058,PER
13,260.19877831296776,245.63463275642658,PER
14,283.58835026756816,274.94913137777775,PER
15,269.0560215139591,266.2148346453333,PER
16,135.15131040421338,137.20112415938672,RIC
17,230.82984205999566,231.57915788695178,RIC
18,277.976449715942,274.7952994542396,PER
19,288.963586968116,286.0130836026816,PER
20,291.69813314632034,291.42362771925553,PER
21,296.54438409275366,296.8223084256729,RIC
22,141.23106721382618,134.55002279745727,PER
23,80.56143746330567,82.1193231274979,RIC
24,155.16632168284204,162.64765719141226,RIC
25,236.60416533333333,,PER
