Minisector,LEC,PER,Fastest
0,301.6219182840579,293.1804784509987,LEC
1,163.45735865686808,159.39277975001878,LEC
2,154.1115049405353,151.79101892176723,LEC
3,233.6891026271043,227.56807599119745,LEC
4,288.4674229140514,286.4646649766234,LEC
5,288.4613294842474,283.65706337391305,LEC
6,151.65855381449882,143.77326712550266,LEC
7,147.40972906381546,143.91307599367664,LEC
8,150.01165840242004,141.7224247139275,LEC
9,197.34519971616945,190.87395474079014,LEC
10,134.7019522511164,131.68496920434904,LEC
11,126.1777839834269,120.8207912869588,LEC
12,171.01844490954954,174.82451945431146,PER
13,271.18703642962964,269.40018175072464,LEC
14,293.8062498909091,287.62559546320347,LEC
15,158.4937089596372,151.30450587241515,LEC
16,209.8341207907986,208.61140205267955,LEC
17,178.31282175911167,175.5740094137566,LEC
18,278.33489533333335,273.79346957467516,LEC
19,300.61796450157186,297.1710229541126,LEC
20,317.05932521360546,310.5980797624775,LEC
21,321.62894731228073,317.27666672,LEC
22,318.87296961537356,320.4613095619047,PER
23,327.2962017088435,323.28812501333334,LEC
24,331.0256944592593,319.75827051629074,LEC
25,329.1541664,,LEC
