Minisector,BEA,NOR,Fastest
0,302.3240396547952,296.84434027015874,BEA
1,225.20477670445212,230.1750103259843,NOR
2,131.7889340802278,124.53276759543326,BEA
3,235.2996773827119,241.38757759509429,NOR
4,198.27111191070236,193.28775289875225,BEA
5,250.44522657424662,249.74447131524695,BEA
6,235.83983075100167,237.24884759677957,NOR
7,258.26833339863947,259.82324301781836,NOR
8,290.7587892248196,284.66368670319594,BEA
9,201.5922338962963,209.98601665157116,NOR
10,207.36353958415495,206.9514306931055,BEA
11,275.4874701076276,271.2561129992958,BEA
12,213.39135594995332,218.9491075624373,NOR
13,253.39890059678697,253.85856714758316,NOR
14,292.8065217762319,291.4769595930284,BEA
15,307.07198723920766,305.6207903706481,BEA
16,312.4372727272727,302.53731064278566,BEA
17,212.94223900208112,208.72103035327035,BEA
18,262.4677313800577,263.90500963730705,NOR
19,295.2771174703957,293.97664226668405,BEA
20,309.10305383022774,306.4385249795445,BEA
21,313.2838175767259,298.9485470280638,BEA
22,153.29869515114908,153.11566621889241,BEA
23,235.39478135919157,239.3135624364595,NOR
24,282.7480293829539,284.1925847047029,NOR
25,289.4086019729447,,BEA
