Minisector,RUS,COL,Fastest
0,284.8147340088889,287.7789115203475,COL
1,293.2113636987013,294.07896817777777,COL
2,237.0925314535619,232.13860944124033,RUS
3,119.90170545376635,114.79224008244574,RUS
4,134.68354066649886,139.70989590426868,COL
5,255.28439038176347,258.92554058264403,COL
6,245.45435740666667,243.86208683050316,RUS
7,128.7471851587733,130.4178715049273,COL
8,253.06569482112553,246.57615270964274,RUS
9,255.72391150064024,249.15259894796188,RUS
10,213.04011450484333,198.24158548876096,RUS
11,143.80775041632725,143.3418006759279,RUS
12,204.5259662115654,205.09387299529496,COL
13,254.0423452584814,247.09367633593854,RUS
14,113.87637156383204,113.01033298186222,RUS
15,192.82342850620898,188.16293278312594,RUS
16,270.9309690867633,268.15491639122155,RUS
17,312.97185719887955,309.32351155670995,RUS
18,323.7016527787862,322.82060586168046,RUS
19,327.2149719502521,319.9197539765657,RUS
20,325.15689887695237,312.11172349678003,RUS
21,190.66381841438192,155.30797323388504,RUS
22,143.34121934017116,157.21207473597775,COL
23,191.20521988626848,183.5429495029841,RUS
24,231.52879095515516,244.69824249824396,COL
25,258.0,,RUS
