Minisector,SAI,ALB,Fastest
0,307.67213130068563,320.3838427349962,ALB
1,230.4319666092712,226.48090194349066,SAI
2,127.12627109389776,127.256586197595,ALB
3,231.6664574315052,220.51635079601533,SAI
4,189.88563146230703,182.29511849890568,SAI
5,243.13091486192508,237.3673564123075,SAI
6,224.71455901615977,218.83908304873268,SAI
7,259.66164568832454,258.05018956576646,SAI
8,293.46018696720654,294.29000019146997,ALB
9,204.00785619287092,185.4881782149648,SAI
10,211.33544222491423,207.65842012412455,SAI
11,276.3716987408344,275.9580479718103,SAI
12,205.18379283482597,206.53128939623326,ALB
13,253.17137953238202,254.40524565447961,ALB
14,295.3868939194776,297.0724617066667,ALB
15,310.3227722311111,314.2437173264733,ALB
16,312.57654235613273,312.45893832,SAI
17,199.64477883192518,202.21463661943537,ALB
18,261.34649172901914,262.62356229795097,ALB
19,296.9882279443223,303.2016793541686,ALB
20,312.2101546128254,324.2874997376871,ALB
21,316.1600396393651,330.84214284952384,ALB
22,146.75839390760706,144.05824103173106,SAI
23,233.18326556916102,234.48814991138585,ALB
24,292.38645804712496,296.00859825118994,ALB
25,,313.93081873407044,ALB
