Minisector,PIA,RUS,Fastest
0,299.2296970354545,297.3017884232618,PIA
1,305.6160056532383,308.95395840888887,RUS
2,308.62339573048126,311.5168817107609,RUS
3,302.19914682539684,294.80904400089014,PIA
4,172.91500081574605,160.2974438307279,PIA
5,215.51718338686817,211.9448505819665,PIA
6,245.51820669018633,244.97529024662526,PIA
7,271.15977745775325,272.1620328187524,RUS
8,261.3758834527442,237.2426574542443,PIA
9,169.49386663449354,161.7426446235143,PIA
10,224.8332769341082,209.83927563252746,PIA
11,135.00481511698095,126.47891908385812,PIA
12,232.85445702216177,232.96332668242522,RUS
13,181.08650312622333,174.19023790078305,PIA
14,221.57684891927275,226.87742420010838,RUS
15,249.26826578434898,246.63715386794257,PIA
16,270.74850894857144,273.03922444359785,RUS
17,288.419704892506,301.5942447458422,RUS
18,157.9105687597279,144.90338366473458,PIA
19,179.11075612164257,169.78357623245324,PIA
20,143.52062682617853,140.45672739434596,PIA
21,236.037381277308,235.39438253551182,PIA
22,267.7938158135338,266.06740860167014,PIA
23,258.0944134433417,256.4205888182841,PIA
24,279.9615820746572,282.5509572898766,RUS
