Minisector,BOT,LEC,Fastest
0,275.71625026545854,275.69574742054283,BOT
1,288.6974303825123,291.71964281904764,LEC
2,288.5151620029283,283.16954050199837,BOT
3,183.58537151826408,183.69745831501723,LEC
4,138.81535320837335,132.3636095535924,BOT
5,244.5397075942721,244.54791234126318,LEC
6,282.606285624788,284.25273608200115,LEC
7,293.57367156567926,291.5907730458722,BOT
8,191.6559800079815,180.11602958874624,BOT
9,154.90396246326546,148.48894267179483,BOT
10,254.84580071460948,256.5864360937956,LEC
11,284.25519376008657,286.96812789016434,LEC
12,294.0973015890966,295.84568996213517,LEC
13,289.0307594020967,284.9867607535482,BOT
14,299.3324386736091,296.59184386359755,BOT
15,297.4203868473116,293.65850116955295,BOT
16,264.29447770077894,262.10332280685594,BOT
17,241.83076652335546,228.9856761739926,BOT
18,282.63835490742605,280.42795858279135,BOT
19,299.964963082036,300.29717207855236,LEC
20,306.87043722151776,300.75124995047616,BOT
21,253.25237165039286,232.88815068530582,BOT
22,267.3553685497707,261.8641525160512,BOT
23,140.50167038791304,142.25470422939654,LEC
24,225.51099242138702,218.99633846392254,BOT
25,,258.6624992,LEC
