Minisector,LEC,BEA,Fastest
0,290.3844357527841,291.1336594426272,BEA
1,144.64473335025906,147.34126403190723,BEA
2,227.21093906532468,227.3348239964322,BEA
3,285.8270212795601,280.0604650938525,LEC
4,323.9042345084807,311.4460142334199,LEC
5,309.9279657212121,302.14195573280705,LEC
6,150.06175224990093,149.9979445308279,LEC
7,245.89711528463306,255.48986474880397,BEA
8,108.934485176865,112.94677704547216,BEA
9,174.08665910164376,170.81747633611388,LEC
10,278.97860224444446,280.26123823983556,BEA
11,301.48736281998936,305.0143693919628,BEA
12,204.44467097791082,217.9664268659493,BEA
13,172.59350037191734,166.86824317667936,LEC
14,281.3932369748623,279.8106312662519,LEC
15,312.6948468256992,312.995845415873,BEA
16,327.76952377720056,327.3733721888584,LEC
17,337.18636162590474,333.59212389505035,LEC
18,349.34803939047623,337.11350655910366,LEC
19,351.0091911529412,339.52241155555555,LEC
20,196.36895327780024,194.26786381314895,LEC
21,181.97314808127905,174.53654166993914,LEC
22,280.6893180360741,283.08583091397117,BEA
23,313.6434757879042,315.1401975366289,BEA
24,324.3926438372063,324.4192669577143,BEA
25,,320.0,BEA
