Minisector,PIA,ANT,Fastest
0,276.0259317754386,273.4786217267829,PIA
1,301.20754797603564,302.012378851498,ANT
2,314.57280998643273,316.5884418521212,ANT
3,321.1252232,324.9517003319728,ANT
4,322.95416666666665,328.81039180317464,ANT
5,325.5904761904762,330.71730983009525,ANT
6,219.35955008689342,206.19802765780537,PIA
7,107.26177128760173,109.7962261818504,ANT
8,177.4568503128836,192.71669879911897,ANT
9,258.29082369866944,263.2021477017445,ANT
10,289.68583118714287,290.10800562614384,ANT
11,159.37324258935766,162.83961475517927,ANT
12,93.0503799116308,94.40977057239459,ANT
13,117.14367254922202,116.56586483969924,PIA
14,222.9895014447802,220.86490607700108,PIA
15,193.25244175283268,187.79151270059816,PIA
16,223.90865729513825,223.07528314434782,PIA
17,182.35493983288887,182.10495995733334,PIA
18,241.43647824874677,229.95922923438698,PIA
19,279.6944912366578,276.54857501555557,PIA
20,261.61710557262035,254.39814680147316,PIA
21,148.77158894895717,149.0491515871609,ANT
22,97.68824391903081,95.0018714442927,PIA
23,123.93836229938967,122.34014064256786,PIA
24,228.4445801760584,217.58358952151173,PIA
25,,254.8812488,ANT
