Minisector,RIC,GAS,Fastest
0,261.3164120054422,262.1746533361165,GAS
1,134.02802911913852,134.83518092320585,GAS
2,194.0853781879604,187.21899857492448,RIC
3,242.61696396190476,240.29583303111113,RIC
4,254.19356485612244,260.32611911774706,GAS
5,170.7736026767033,192.80033963977456,GAS
6,143.24121535239988,141.43136747456995,RIC
7,184.94261758899006,178.7210426303963,RIC
8,101.6213110836332,104.05736226617397,GAS
9,77.40151233630291,75.77057118249151,RIC
10,97.61694411182772,91.15935083165313,RIC
11,180.87424048039966,167.9235273605493,RIC
12,241.78093097384647,237.20611131259258,RIC
13,265.33571405714287,262.9630977776779,RIC
14,276.31039059231216,278.40316191876315,GAS
15,123.45754444937809,122.23833369578826,RIC
16,136.19045034392076,134.21836019535093,RIC
17,188.82459208822056,186.0024475360805,RIC
18,195.63822846730417,190.46453614880568,RIC
19,215.04879122170126,217.45173333431842,GAS
20,136.21991470579263,128.1941464606532,RIC
21,121.20984361151805,112.72295288226056,RIC
22,92.87273681813069,87.77355172922599,RIC
23,190.37708432592592,189.29389967696613,RIC
24,244.14918304676894,244.24045528793894,GAS
25,259.38,,RIC
