Minisector,HAM,ERI,Fastest
0,285.8466508243266,284.5951243144697,HAM
1,253.89136411225485,250.17950319865471,HAM
2,269.81100076286384,269.8615266076234,ERI
3,278.7740648235433,285.71144227724864,ERI
4,138.1995312408636,129.52290445068894,HAM
5,211.9516835856176,213.46770878282277,ERI
6,266.56611062332314,268.5842792253424,ERI
7,285.276731490437,297.3654481193844,ERI
8,294.3536457111111,312.7574509626544,ERI
9,299.2263020666667,319.76186919102395,ERI
10,287.0921545512954,285.22495912817766,HAM
11,105.99688812471163,100.08400755501799,HAM
12,223.45570279458127,224.6972986580619,ERI
13,272.67527623609317,278.1071990811749,ERI
14,278.62773530817714,264.4078922433973,HAM
15,140.6801993035163,128.0941462511781,HAM
16,213.6488580192689,202.83580043936266,HAM
17,260.5740571079148,258.225726335628,HAM
18,265.40900009170963,242.2518493201406,HAM
19,250.58337464665806,242.40807837163402,HAM
20,158.02206531160647,139.67734094185326,HAM
21,196.79618052377023,193.59637039838054,HAM
22,183.69722418347752,167.93283802592885,HAM
23,196.65033716629858,184.64620778008418,HAM
24,255.0273729693259,250.23419371318317,HAM
25,274.31840806158266,,HAM
