Minisector,PIA,ALB,Fastest
0,289.47723614907164,287.3346431302139,PIA
1,308.0995516750849,306.6371540807519,PIA
2,312.6571850454257,312.65224198474186,PIA
3,198.34996541334158,199.26487053736886,ALB
4,237.72142249362074,233.85643454113378,PIA
5,224.14417080200718,226.26928043840485,ALB
6,206.57630466031745,209.5383124937143,ALB
7,235.06587472544172,228.2418786564157,PIA
8,272.53072966724386,271.1161274926722,PIA
9,275.75239845971606,274.04846485781434,PIA
10,173.70016285467787,170.4598515158849,PIA
11,240.13568168766963,242.29773974642245,ALB
12,116.8326461292658,114.19445558777721,PIA
13,226.05191786385095,228.97955092934293,ALB
14,279.31322424110243,278.1287989824506,PIA
15,295.77067136296296,295.06822688541166,PIA
16,216.56086385686285,211.08448345398654,PIA
17,190.34005029492735,183.77615609540902,PIA
18,269.42482806012123,272.1887592070309,ALB
19,296.18538760524507,294.2263968759873,PIA
20,308.0092924609529,306.35667797574604,PIA
21,307.9370623077469,306.96623379116886,PIA
22,282.2056207714091,264.4092847635709,PIA
23,116.95397142314462,123.0673120218462,ALB
24,243.3566529955267,246.96241524661656,ALB
25,276.0324589385367,,PIA
