Minisector,LAW,SAI,Fastest
0,274.61626795497835,273.71718495731096,LAW
1,113.43331477317611,117.47268617821754,SAI
2,164.76653837724052,159.12643915299103,LAW
3,205.89991810561767,202.01090317374522,LAW
4,157.7703462087619,153.98010749392776,LAW
5,239.8595680222449,235.35774270712497,LAW
6,201.01831974730158,204.79076829065255,SAI
7,130.9023654966717,135.11620488355217,SAI
8,243.50173056493824,241.9111111111111,LAW
9,284.76188595899157,282.73329142435176,LAW
10,274.0422900111525,279.045866646813,SAI
11,148.49150190044443,149.6681766698177,SAI
12,224.77523943957672,225.02703040439673,SAI
13,276.97013942222225,276.5289923039923,LAW
14,227.05491946092778,252.55494039209194,SAI
15,98.85450420945891,100.44946522638851,SAI
16,230.5484219920468,226.17687514974668,LAW
17,287.2817238789916,288.3043067226891,SAI
18,315.55608256866356,310.1237873117147,LAW
19,324.0856260893737,308.95287609558443,LAW
20,315.66619009406594,302.7128427128427,LAW
21,286.73657792174606,271.130356670247,LAW
22,152.65869879711704,153.70253371335724,SAI
23,242.64196349614053,244.89005726479587,SAI
24,273.93329272387217,277.6783683645345,SAI
