Minisector,RAI,PER,Fastest
0,235.36296355555555,232.36324766117002,RAI
1,285.9067179218574,287.624910072397,PER
2,298.0747024761905,303.8773769070955,PER
3,303.13401794285716,307.08374992,PER
4,273.3605684095014,271.3220461777778,RAI
5,176.21921986499441,167.7707564326332,RAI
6,265.8526292952381,262.80460266038256,RAI
7,283.3672401121329,280.59558986666667,RAI
8,220.61633574421768,205.60165010405677,RAI
9,219.98908190506324,216.8952502802721,RAI
10,189.1076471180375,181.99919948698414,RAI
11,227.76682240000002,225.4984493442177,RAI
12,209.40187209750658,195.70148531756567,RAI
13,217.25950703164008,210.28394192235527,RAI
14,223.78642113580247,219.27826730481794,RAI
15,184.58476140698414,176.26896134036124,RAI
16,248.81201518397393,251.105606,PER
17,291.75102843290045,294.3568829024404,PER
18,308.57062522666666,312.20574420571427,PER
19,294.6604406428088,297.4984717372859,PER
20,129.87344524522823,127.51870850159585,RAI
21,167.67634956824543,159.29203462098994,RAI
22,149.76452387164525,156.93545824315743,PER
23,206.77606681123632,196.348867,RAI
24,142.79241348207574,144.96394866811494,PER
