Minisector,PIA,GAS,Fastest
0,289.808713094133,292.04598304409853,GAS
1,296.1338816327485,303.43993961430294,GAS
2,290.07780263818023,268.3818894204982,PIA
3,116.84701955807817,104.35339384391796,PIA
4,223.70772026008657,223.45152371976096,PIA
5,274.320761001864,274.00113015307875,PIA
6,212.0763075044898,195.04411397941013,PIA
7,161.81510386512207,163.53233215157886,GAS
8,207.21876556364936,210.54922658482852,GAS
9,216.88550014589313,208.80539513852432,PIA
10,121.13784789768569,113.60788303902528,PIA
11,229.76969144495112,229.0537698219419,PIA
12,117.98875618291072,112.70708496096177,PIA
13,223.65769614160342,226.79308770386947,GAS
14,276.78290679674893,279.1954225680808,GAS
15,218.77189154428277,200.72352202591802,PIA
16,192.31032095000995,197.84486348227787,GAS
17,247.3642064378999,251.33405259894178,GAS
18,206.06931849687004,180.2736475317412,PIA
19,183.10139689452555,192.8230957137778,GAS
20,262.4616007873775,266.0690556255378,GAS
21,290.9003041288889,291.3475599733333,GAS
22,171.7573106120513,163.98502627785794,PIA
23,210.41902130514285,219.58362355937396,GAS
24,267.5040450107346,272.3870046732805,GAS
25,281.92857234285714,,PIA
