Minisector,VER,ANT,Fastest
0,271.1236549102088,270.30142777563475,VER
1,247.53886847337475,259.10960478324375,ANT
2,120.99790044479633,127.45092755437038,ANT
3,169.21921862841248,166.788855968354,VER
4,197.0205220456192,203.29896261946448,ANT
5,189.3818789388775,191.34123900087775,ANT
6,260.48627887299915,261.54429952151565,ANT
7,284.18004157866665,286.3038892088889,ANT
8,237.37911799713646,256.1840664057143,ANT
9,149.28329809964552,150.25177106634226,ANT
10,122.28139554818776,121.60437592610265,VER
11,166.85852029805028,160.95055955480473,VER
12,247.30332687150025,238.4475506955665,VER
13,158.8517985769634,167.31998338369385,ANT
14,145.63927059849726,145.59266528254932,VER
15,106.1740220031843,111.10388600519698,ANT
16,215.45670179660502,208.55125730164335,VER
17,240.42093923189714,248.693725086866,ANT
18,130.44612387616445,119.26569275800469,VER
19,240.71758874677707,235.1963810915114,VER
20,273.72250602185466,270.96096372021884,VER
21,200.75314769084312,225.6435564137729,ANT
22,152.0639730885748,139.5543962087253,VER
23,220.83568535482445,217.1596722120635,VER
24,228.44227863331972,224.16421699312238,VER
25,,255.51388657777775,ANT
