Minisector,HAM,ALB,Fastest
0,297.0517049212121,289.82765551908034,HAM
1,321.8294579307463,306.8122034673737,HAM
2,316.12229106285713,299.13249952,HAM
3,191.10547381464448,187.06028541283678,HAM
4,229.0230543648352,224.39386883460568,HAM
5,217.80580552494845,212.71069788507822,HAM
6,204.53526908254895,197.6429071181926,HAM
7,220.65184345989772,219.63917281787698,HAM
8,258.6018336609524,257.3713546222222,HAM
9,264.33685604489574,260.7472467238095,HAM
10,182.29815638715493,177.98391259301496,HAM
11,244.1397233446129,239.77897455186047,HAM
12,126.99151955896353,122.46617098936592,HAM
13,232.24578077851038,228.98095775853506,HAM
14,274.8036536571644,272.00420125607695,HAM
15,284.95802269813663,277.41974637846795,HAM
16,214.26938991379402,214.7529472948911,ALB
17,194.0275018969407,194.8230036413952,ALB
18,271.7413524009319,269.2759176025405,HAM
19,295.4202001277979,292.67892331082254,HAM
20,307.65875008,304.4527424203535,HAM
21,308.48583326476194,305.71068588117913,HAM
22,261.3184014222222,260.97876297052176,HAM
23,124.15553860835739,121.02329030730253,HAM
24,248.34246898390788,241.65278632838098,HAM
25,277.7000021333333,272.9,HAM
