Minisector,ANT,HAD,Fastest
0,287.8455873990885,287.6609683390899,ANT
1,307.59873129382134,304.05829753953935,ANT
2,311.2671505423377,300.26041106830996,ANT
3,202.47706137904763,203.72241385689293,HAD
4,232.84061832402298,236.3277442695305,HAD
5,222.82387276519304,225.40918319424338,HAD
6,203.40693532943305,207.4859161166298,HAD
7,232.36233810536262,232.19764581286304,ANT
8,269.87928753835496,268.5409740847502,ANT
9,276.73695528666667,268.07070980392155,ANT
10,177.02440839143088,180.10518937866124,HAD
11,238.74416998782092,235.33853965366254,ANT
12,111.79827338766013,118.48543939362496,HAD
13,223.42050686706827,219.158328546333,ANT
14,277.1933027191302,276.56730254575467,ANT
15,292.9987662799423,290.093404326351,ANT
16,221.01222994250784,215.44366134870495,ANT
17,189.72649154841926,190.07439541642793,HAD
18,268.2438514626347,267.40742259590587,ANT
19,295.1672269365195,292.8769259711111,ANT
20,307.60563206643684,304.34054360347824,ANT
21,306.14622031891156,305.06054030152956,ANT
22,281.3413871937251,275.59673290243387,ANT
23,119.29026621243301,118.56317885659669,ANT
24,243.57026915267124,244.27101354707628,HAD
25,273.75,273.44166613333334,ANT
