Minisector,BOT,TSU,Fastest
0,291.9668135193074,284.85340136054424,BOT
1,307.99184997399414,293.42994628593306,BOT
2,315.7797181124183,299.1359524190476,BOT
3,305.8855074116402,294.93335600907034,BOT
4,158.7099092050373,158.21118520666698,BOT
5,196.65783638934775,195.86415692342857,BOT
6,221.00897482418338,213.14642841074925,BOT
7,259.8398261090909,257.36064285714286,BOT
8,233.23529009168524,230.03616807599454,BOT
9,148.92379087199998,148.83056268167388,BOT
10,212.8320199137136,214.74776636742277,TSU
11,128.0003694670356,126.35423608223734,BOT
12,224.0111093811717,227.6074108431251,TSU
13,168.9912380094173,171.46748379890332,TSU
14,207.15101878825396,216.8975211744777,TSU
15,212.69539730498337,216.53532958545455,TSU
16,248.4758746252588,247.18206060606062,BOT
17,277.45169717530865,279.8338840571429,TSU
18,146.45202772687725,146.42562089925914,BOT
19,156.426512165772,162.5912386335964,TSU
20,134.7822784856508,130.39207866357785,BOT
21,147.67034421464416,145.29283560016393,BOT
22,107.36878308927382,108.19451695456573,TSU
23,209.23118946454926,213.67853907787477,TSU
24,260.9284531953719,264.08132034632035,TSU
