Minisector,STR,SAI,Fastest
0,307.4835648592593,292.73364991643257,STR
1,301.0974217931537,297.7955676444444,STR
2,153.07500013714287,171.94536959898744,SAI
3,233.48786302608696,234.58652511081192,SAI
4,290.2261904761905,276.43605044641197,STR
5,316.6211485938375,292.54495629473683,STR
6,327.1320312666667,298.4346509851588,STR
7,148.42579880902255,170.13630023972942,SAI
8,136.12256710078626,145.9685532682809,SAI
9,255.1898810920635,252.0466649005003,STR
10,295.08515243174605,281.15617408160665,STR
11,303.04511154297717,293.3671297777778,STR
12,138.1816731220899,157.06523005057838,SAI
13,206.63862123724942,208.1309312,SAI
14,265.2308335466667,263.98053669391504,STR
15,202.12725859767053,219.96396224904757,SAI
16,223.96857653333333,237.48168394348752,SAI
17,216.7427468154748,235.77236611951622,SAI
18,249.2031746031746,252.2471945723356,SAI
19,279.2313599438596,276.61629022836155,STR
20,293.9017544421053,291.25526546517386,STR
21,259.8674602666667,276.4996020825397,SAI
22,216.44683306666667,242.26499154165845,SAI
23,211.76047638771067,221.67767981601722,SAI
24,275.11145882666665,270.45916762666667,STR
25,,284.27500053333335,SAI
