Minisector,VET,GAS,Fastest
0,281.1301180717354,284.0581403022999,GAS
1,219.3243685302471,230.61822268157349,GAS
2,113.96207422974771,112.85404387382829,VET
3,202.1458932760172,199.05577893238322,VET
4,175.70228161681413,171.09565262178802,VET
5,225.21148193179772,221.327173657971,VET
6,278.3191820399568,284.36282688,GAS
7,295.04495607017543,309.52254870588234,GAS
8,175.75757292429935,168.75070562446416,VET
9,126.83370734119481,121.26892824042328,VET
10,137.05130322517732,137.98771103378144,GAS
11,199.25806610415165,199.5263759405698,GAS
12,212.37596344615383,200.60359264217686,VET
13,131.8857957733333,130.92892355689244,VET
14,147.38985220586844,136.1955157012377,VET
15,128.80701794160026,139.44129691314052,GAS
16,258.01145141399934,263.9568315703866,GAS
17,138.51295468279162,134.40320559880007,VET
18,206.99049785904762,206.35643670527253,VET
19,137.2506381641237,125.55812982613745,VET
20,145.01581319607135,139.78683772451663,VET
21,128.22341203004257,126.06058262589926,VET
22,151.0146057211519,161.0433302633053,GAS
23,220.2628411270073,215.541750023297,VET
24,238.18042514608197,239.92038252215985,GAS
25,267.27499946666666,,VET
