Minisector,GAS,RAI,Fastest
0,281.98869622648067,277.6864584789372,GAS
1,297.30986540691174,296.33082921862217,GAS
2,249.41648003642857,227.81662167812377,GAS
3,122.6609797156975,118.80436220597434,GAS
4,145.50565276930905,138.72381235513217,GAS
5,252.03720632381706,248.53275025103815,GAS
6,253.31885958916666,255.78095745594572,RAI
7,130.76306125867595,127.35504104585472,GAS
8,250.28876790886875,244.6337139643728,GAS
9,268.3895833212121,250.03490140507404,GAS
10,217.95730453346258,204.762627251589,GAS
11,150.32234900155703,143.13595916768676,GAS
12,215.58277890369865,209.30293920734746,GAS
13,261.9882665233622,256.3367543361849,GAS
14,119.27818058130221,114.46241520731226,GAS
15,208.5913760897566,191.14081655303445,GAS
16,262.3443788196795,254.43319491161432,GAS
17,288.2272124114949,283.68280810667164,GAS
18,297.51492411466467,295.8433262531679,GAS
19,299.8421052631579,303.26022883864096,RAI
20,300.52552547472783,305.25748324032054,RAI
21,167.7608966162723,160.4115403746466,GAS
22,155.01114911118316,156.41608127042866,RAI
23,201.06980198529465,191.00401186562686,GAS
24,231.66169091276677,232.70543511788307,RAI
