Minisector,NOR,TSU,Fastest
0,302.7773359030303,307.03916675199997,TSU
1,230.78187451481824,230.96279837252524,TSU
2,135.63890714124778,128.95103174028404,NOR
3,219.24820695804368,216.4566400585231,NOR
4,264.13890248804233,261.6886224111746,NOR
5,287.14950534253967,287.13792056627176,NOR
6,300.0305273703156,299.08871208311683,NOR
7,276.69231821027074,274.68601471525926,NOR
8,173.23310789082825,164.85839303176115,NOR
9,241.1883994259321,237.67226882552382,NOR
10,274.3091077851429,271.3604098125808,NOR
11,273.7088215051543,258.0683318459259,NOR
12,220.78412440071773,209.62687611826087,NOR
13,132.71382018717725,126.9084524974343,NOR
14,126.5498895607444,121.61750850427309,NOR
15,168.71691884813393,155.26747225970303,NOR
16,126.16280757651872,125.08993830373802,NOR
17,234.4353022576441,230.07615057588495,NOR
18,179.58409553627777,165.2738792911896,NOR
19,161.09130422179894,165.82862978359222,TSU
20,248.94252452562193,245.6614888350476,NOR
21,276.4327765900187,271.9958338266667,NOR
22,291.19774010753247,287.96093373630276,NOR
23,299.9904433038184,295.91578544410254,NOR
24,302.6290102320921,301.2077457791453,NOR
25,304.0,,NOR
