Minisector,RIC,SAI,Fastest
0,297.68928604444443,294.92765146320346,RIC
1,245.5040835835883,245.50881435897435,SAI
2,201.7403957858785,203.38238383506476,SAI
3,264.71224907955815,267.08665029619516,SAI
4,237.48970175661375,231.35480603880072,RIC
5,118.80790112620134,117.81682256557527,RIC
6,178.52998909821372,175.99411639145777,RIC
7,257.2405807938511,258.0294000554666,SAI
8,288.29695540394687,286.1990080435374,RIC
9,301.75758959999996,298.7761905015873,RIC
10,305.51508932571426,304.68446661481505,RIC
11,230.4279406062395,215.60287581460318,RIC
12,149.27943225508412,151.16445111612754,SAI
13,254.6975939378882,258.8581119596669,SAI
14,287.82353436848194,286.8670988845018,RIC
15,298.07247090880253,295.0278550443585,RIC
16,291.7293651301587,292.7912084118913,SAI
17,256.139696987401,256.1359745625849,RIC
18,183.21212109090908,180.6899609248851,RIC
19,185.89420258539445,180.37793809802798,RIC
20,174.05398527603663,187.64913389472443,SAI
21,244.79094974554334,244.1740169988255,RIC
22,127.88199102122677,125.29540465754833,RIC
23,192.45448845247313,202.82130202649026,SAI
24,275.5666910920635,274.9810653448627,RIC
