Minisector,RAI,ALO,Fastest
0,277.2045580603281,279.40654191127584,ALO
1,294.53183153470513,308.8973657136616,ALO
2,294.36285331833363,296.005061478796,ALO
3,179.71183566920502,169.14155827599103,RAI
4,119.94189448073466,109.7143256999702,RAI
5,238.8963273119702,235.55564128502954,RAI
6,283.7657671776743,278.5520504629848,RAI
7,297.8082211962497,285.2451155903841,RAI
8,169.57514548249972,166.75955846019207,RAI
9,136.97699393821088,134.211966358772,RAI
10,252.70012104738007,250.8031787171632,RAI
11,289.3753323577253,284.45216812375577,RAI
12,302.1140916201771,292.65821363938574,RAI
13,283.65123246304887,276.1873679899301,RAI
14,302.1896693987062,295.92936761021934,RAI
15,305.7066790202212,299.43419715263906,RAI
16,252.36918202888305,245.90066329358072,RAI
17,218.3110356800671,212.11709229006274,RAI
18,282.9621309333183,274.53228536449734,RAI
19,311.16469048399887,300.2004382898789,RAI
20,319.3042039458825,305.47559983675575,RAI
21,232.50989237901604,226.7193762335025,RAI
22,262.22683597547604,248.12234915770404,RAI
23,139.16612976642836,127.91709270307715,RAI
24,209.39129031197567,204.74203524450712,RAI
25,256.7666645333333,,RAI
