Minisector,HAM,OCO,Fastest
0,301.1869938533333,303.43880928761905,OCO
1,303.43859649122805,303.7933866751323,OCO
2,299.49379398130736,296.444647469407,HAM
3,236.45200166400002,225.06250141866664,HAM
4,223.9959033809653,221.88109376201135,HAM
5,123.58149231504831,117.7037523166326,HAM
6,231.79453965048302,221.9309293805259,HAM
7,270.33710228752835,262.49927462028984,HAM
8,219.7332641213194,215.64967206165213,HAM
9,121.74790373678393,119.72315808302183,HAM
10,241.94776253047652,237.5830904772847,HAM
11,253.67898731594204,251.64275443809524,HAM
12,137.78767380027801,135.84881818785541,HAM
13,224.4291383235385,221.2229675520501,HAM
14,269.5859099835299,264.8660696029227,HAM
15,230.2324092830476,221.25533864409172,HAM
16,177.81084152816183,169.7942721589004,HAM
17,246.71177470144926,239.84486667439614,HAM
18,127.71167555749466,125.22443397138892,HAM
19,152.6386240621715,148.51945207955322,HAM
20,209.0783177140756,200.61869571888343,HAM
21,258.89166519641566,255.12776606605814,HAM
22,275.5471128304762,272.02182496507936,HAM
23,285.92122966349206,283.40138467480216,HAM
24,295.73145808,293.04233422989097,HAM
25,,297.4624992,OCO
