Minisector,SAI,RAI,Fastest
0,294.41036852002986,314.1597018120894,RAI
1,246.90254281180702,247.70992852347786,RAI
2,205.09072199389416,198.8272130752786,SAI
3,270.06345752492876,267.6630010196075,SAI
4,231.46506123236225,221.42543582308716,SAI
5,118.19586413983855,116.58657532131221,SAI
6,180.12231663221706,181.62168180216514,RAI
7,259.28655635489037,261.75601418301096,RAI
8,288.77787312217316,289.55852680955934,RAI
9,301.03629529817476,302.642172182275,RAI
10,302.1754043977246,306.09096813103594,RAI
11,215.03904490150978,205.51240933936856,SAI
12,148.73112827381746,148.0776313410568,SAI
13,259.23578507492124,262.32515768675455,RAI
14,289.28448848384755,291.9068274302307,RAI
15,299.1436507936508,301.69110137729257,RAI
16,297.41139304796803,297.9875649174852,RAI
17,265.2325474576484,250.05307074448115,SAI
18,194.41929278105306,183.82920610978226,SAI
19,189.85117251475248,172.62046403612248,SAI
20,186.24189546033162,204.18138716835253,RAI
21,253.04797269182015,237.9885485946889,SAI
22,128.17092087624613,123.34142833220355,SAI
23,199.23562484172848,220.46607155174968,RAI
24,276.3791844463171,278.8064646954064,RAI
25,288.0,,SAI
