Minisector,RIC,PER,Fastest
0,291.00545153576536,291.7931874806187,PER
1,300.4199544743764,309.6771931508772,PER
2,305.6767838889357,317.45424389135803,PER
3,300.3203323584606,311.663389677586,PER
4,203.4639485998577,198.05638774349205,RIC
5,224.0883009622081,220.45585602065154,RIC
6,268.14756669482404,265.6707819064182,RIC
7,275.32123808431385,270.4123099151515,RIC
8,197.63206008553462,197.5243069534097,RIC
9,160.81485625416667,161.83485690800026,PER
10,190.1335238854261,181.25188910833333,RIC
11,259.97758765714286,256.2660260980115,RIC
12,253.95866743466667,252.49888035352382,RIC
13,236.35104715721954,233.56673600000002,RIC
14,268.0141265289926,272.23185247410197,PER
15,182.335993627564,177.56033995319726,RIC
16,224.94910605500283,221.10334087082717,RIC
17,249.5459237109975,247.5640906002384,RIC
18,141.1530990251596,137.40691553280524,RIC
19,241.2795379873016,241.1919133979145,RIC
20,279.39002565656784,277.8620750157224,RIC
21,260.25913638968785,256.00819737613523,RIC
22,150.63375598536115,148.80436482902493,RIC
23,215.20977277230028,213.17499956721784,RIC
24,271.12190864593987,269.29741486551154,RIC
25,284.3357129142857,281.0916672,RIC
