Minisector,PER,RUS,Fastest
0,320.94986983238687,318.03630268478054,PER
1,329.75214862079173,328.43404613132833,PER
2,326.4935070336508,328.20205620037194,RUS
3,200.50354819839953,190.463296617815,PER
4,111.32743790983294,125.01477547310533,RUS
5,262.820875086011,263.29019682905056,RUS
6,299.95568001567943,300.20937289433107,RUS
7,317.1204462072596,313.9154858105263,PER
8,266.6742480988523,267.48490005707004,RUS
9,138.2991544347473,138.85128748018684,RUS
10,214.34240190483342,211.85126349871354,PER
11,204.32048704487622,205.90330273576814,RUS
12,189.55336421541858,188.02485411548574,PER
13,264.9755654184127,263.29435274352215,PER
14,300.90005143947894,301.7223735044156,RUS
15,316.10194527982685,313.90156633040414,PER
16,257.50718529400933,268.14058622412466,RUS
17,204.33319377597545,205.60727469347069,RUS
18,271.9007567329041,269.0962081475224,PER
19,306.97059766795576,308.0574547188254,RUS
20,322.4752896442931,319.464828280596,PER
21,309.30903438776335,305.40558327501236,PER
22,204.04591545804013,201.22956675917533,PER
23,260.51368481269844,255.745977936734,PER
24,300.83561568312825,299.28357480855766,PER
25,312.9428571428572,311.75357074285716,PER
